wallet,nft_count,nft_tickets,sbt_tier,sbt_tickets,tickets
0x2dcae1d2edbec23dd7c7592df1348b58eb97bf91,3,3,diamond,2,5
0x2f23158efc11c579d2bd5b479b84dc5da1807da5,2,2,none,0,2
0x304c3a59efebbcaf68e93a585d5ff0cecd7e4e89,1,1,none,0,1
0x320b9017d6d6b29361b6fd3fefba363b360c4a23,2,2,diamond,2,4
0x3259682e80547b33a3f665e31279c0fba491e8e3,1,1,diamond,2,3
0x3274540ea118808c912075809249f9ae12a41585,1,1,none,0,1
0x337edde64c9b7800f081614f3cb5de9599c9d661,1,1,none,0,1
0x33c1cde57687b33388c4c9edf9904680140844c4,2,2,diamond,2,4
0x33ca39f722d3a20caccb15f63902062c2a0c79ad,1,1,none,0,1
0x34389a1cea6513641699ce33f570032e9265967c,2,2,diamond,2,4
0x3496a0da043108ec81022ebecced3d0cf821a58d,3,3,diamond,2,5
0x349c87f2d822560223268f56dbbb65a0f635fd0e,1,1,diamond,2,3
0x35030ab4a73f12a8c0dc659ef0efe4b9317092b1,1,1,none,0,1
0x352bcd3c7c0b031c2e17fc9ad60b201810cb3673,1,1,diamond,2,3
0x35e3a5f9a59a441f5b87416ed68eb99753e59171,3,3,diamond,2,5
0x360afdbdbcf0188124e0b6e0e5ad197c00bef7b1,1,1,diamond,2,3
0x365132e4eb79a6a6a29f062deb8f05bff92d5ffb,1,1,diamond,2,3
0x367907efb4f8aaaab11cd50dcbbde86d601573fa,1,1,diamond,2,3
0x37010cd3c9e6495be815b256c136f66f2883bc95,3,3,diamond,2,5
0x371bb5277de2a4b2a0ba976cd2e18fb1c4c6aebc,6,6,diamond,2,8
0x375d676e4345d7991bf15dbc4be897004b02c5f8,1,1,none,0,1
0x376263942eaed29ba55af8793f0091e1090aeaac,1,1,diamond,2,3
0x37b28c48febd71b7d73ca907770523089a09a427,2,2,diamond,2,4
0x37eb46b5afe361f725fa9601797a7eae44b0bb18,1,1,diamond,2,3
0x38a404d2e859572fab457ad9adf3cd2d4781d718,1,1,diamond,2,3
0x38c6828ff0e496a915eb0a6583ce295c68832e48,3,3,none,0,3
0x397cbad116eb6a9621a5b1157a643b1fe1f85dfc,1,2,diamond,2,4
0x39c06b54686b0540d6d57a254b976b1df4310df1,1,1,diamond,2,3
0x3a61654b224868f44743bf40a1f1ef1f7f4840d9,2,3,diamond,2,5
0x3a6de8266241991a94c1648e3bec79cc06f0f38f,1,1,diamond,2,3
0x3ad229857e446b9c4e101c9e81d23813174ae00f,1,1,diamond,2,3
0x3afa42d87d546bf899159d858af7a650719ddbc9,2,2,diamond,2,4
0x3c094b0925db24c3de486e158bc1bf01f21f729e,1,1,none,0,1
0x3d0de3a76cd9f856664dc5a3adfd4056e45da9ed,1,1,diamond,2,3
0x3e3a901dfc227c2964bd9c4f6892cbaf96c49cb4,1,1,diamond,2,3
0x3ec9d4c7b85be897b5c9f18f35566ee644dccc4a,1,1,diamond,2,3
0x3faa3641ddb5ad9a8185ce8de326be13e66f22f1,3,3,none,0,3
0x41ccd7cfe46ede6ecf0a841c9a7afcd7599c254a,1,1,r3tard,1,2
0x42626cd748d67d5c2c27f3afaadc3bea28a7ea82,1,1,none,0,1
0x431d70f6d111a4f91e139343c055ab0267a0eaff,1,1,none,0,1
0x44aa9f1c5d23971210ee16e96ffd95a06c295987,1,1,none,0,1
0x450f6430e63c7407b264d11bc9d514d972eb54a6,1,1,r3tard,1,2
0x45d2fa7c5ebc15225ad6a25146fa7b924c83fcd5,1,1,none,0,1
0x460ddb531bb3fd2a29bcfde90a9b7bf977e91875,2,2,diamond,2,4
0x462ead764f2367fe78109598c0e5bfb4c9d43b03,1,1,diamond,2,3
0x463c0864b8d11b39176a86635b92169c2cd10e2f,2,2,none,0,2
0x4759ba4a0823ae42e3ae249385dfb49a774101c3,1,1,none,0,1
0x479eb982e6d5fbbf77f207184bafdee9aa8f01cb,10,10,diamond,2,12
0x490f165270163e904cdd677686acf86dc06790dd,2,2,diamond,2,4
0x4a3a6c0fabc5b15d38ae859ac43791f94f5795de,1,1,none,0,1
0x4c18b5d28f7445a9e0602d38ec2cb34ecac20e65,1,1,r3tard,1,2
0x4c3c7bba317d83317bcc861714b74dccefac0d15,2,2,r3tard,1,3
0x4d59e49e07510cd8804d815bc6a2412a2fcc561c,1,1,none,0,1
0x4d5d815c87dc7e81161b6910fcc746b4781b2fcb,3,3,none,0,3
0x4e9422b0c626ed679344422409a51a200355e4e8,27,27,none,0,27
0x4ff83c705cd9eba77f509138412810c60f06363a,2,2,diamond,2,4
0x50a6181970348e9a45cfac4d1c8d247990c585d7,1,1,none,0,1
0x511412472d19e1dc04ecd8f5bb723d11bea0fa22,1,1,none,0,1
0x51af05196fd5dde902262cd84075eb94ae559376,2,2,diamond,2,4
0x52081a6912cfa64968999fbeb31387446a49b207,13,14,diamond,2,16
0x521dc01d9d26806092c45225200a09aa6d8f4b2f,1,1,diamond,2,3
0x538f8763282a1a6dfcfc4c9024631d5e79f869ad,1,1,diamond,2,3
0x545ef910c6cbb97ee0df691c4a952f7d024d392b,5,5,diamond,2,7
0x54b03e5d5e01fd10969c912dd62a1061e96bd3d2,2,2,diamond,2,4
0x557758ec7fd3c7e8c1a6b5b42f15ac6b82891f18,1,1,diamond,2,3
0x55b7b045c65effcf61a01d7a8a979d2c258b7a29,1,1,diamond,2,3
0x56466a6ea6d50781590d361457364edb1a303a5a,1,1,r3tard,1,2
0x56e272cccf89be591f63d521200cf6f06fd8bbcf,3,3,diamond,2,5
0x573d4f8ef8c0adf4ac3a1f07462fce777f1bb2f3,2,2,diamond,2,4
0x57568540beaac9a78b353b1b12ad0d3b0719ed14,2,2,diamond,2,4
0x5931f82f1b2683b3461bda1f20af09b3eb38c6b9,1,1,none,0,1
0x5935ba4be0d2abe85f5d8fbeb89325ef281f12fc,1,1,r3tard,1,2
0x5a3f24151434d3125b2dfde4f3491e35ff2bf4cd,3,3,none,0,3
0x5a6632686fa13722c6a2e0a173db1f38dc4ac7ad,1,1,diamond,2,3
0x5b76dd6d1506658eb25652a61854ded918463c28,2,2,none,0,2
0x5b771eb0da5a5460cb6c1bc0084db0df8b789955,1,1,diamond,2,3
0x5c1400db3994a25be52787415074a50379f60f6f,2,3,diamond,2,5
0x5cac6e69e4fe2a29556ad91c94fe68259b663d85,1,1,diamond,2,3
0x5d28f42a1ed7680ae22f1afb05f787b594f5cf3a,1,1,r3tard,1,2
0x5e2c902bbbd4e3f743940d14b36706a9bae7e0b4,1,1,r3tard,1,2
0x5e4be30aeccb0c4f9811eb3876d0271ea826eb67,1,1,diamond,2,3
0x5f88648757873f178b69381384f2af43e55768df,1,1,diamond,2,3
