wallet,nft_count,nft_tickets,sbt_tier,sbt_tickets,tickets
0xc2e7db77bd07a8d91534970e7ce8fe71e7c6b26d,1,1,none,0,1
0xc35b0b63fbbabbe889fd9f22aa6ec0fba6961dd0,3,3,r3tard,1,4
0xc3cccb69981db01e03b22d1f6b29f2e3fad46033,1,1,diamond,2,3
0xc4247f76064b7a4990f1f7566f4940d61d882eaa,1,1,r3tard,1,2
0xc4ff8c7433c14b3f4122deae8a6a9abe24ab950e,2,2,r3tard,1,3
0xc600298b2a067bde7308aa630f35d4ab11cebc14,1,1,none,0,1
0xc726060e8872f75a7c6f029638a3e5ad64ab5881,1,1,none,0,1
0xc7f1ad366fbd25016970facb9fb27992c44ccf36,1,1,diamond,2,3
0xc834cc07d26934091c0a634213c7632f2be58345,1,1,diamond,2,3
0xc84839229a27b288c94323141a69ea5b5560de7c,1,1,r3tard,1,2
0xc88dc3f2cf41d0e25df58f40ca58a54b4105d3e3,1,1,diamond,2,3
0xc89a758db95431834bd2153feb27b38703cc144f,1,1,none,0,1
0xc8e66291fc15b6392d56ac2ef3db3ce4fd8c070a,2,2,diamond,2,4
0xc960517dee7a3fc8b1f28481fd82756023d3470d,2,2,diamond,2,4
0xcadf27617c932594d840b220e39db61b46bc4720,1,1,none,0,1
0xcb33c029aa1dbaf1743f4a4fe84d88336eedec98,1,1,r3tard,1,2
0xcb47222497c87a75b211d333a25c7e7cc8abfc90,2,2,diamond,2,4
0xcb6e4964789f9e3f658a8778e4164baf30690a4b,1,1,diamond,2,3
0xcb70aa1b424a0ed377945d5fa5d22a2956270163,1,1,diamond,2,3
0xcbae006be95ba2a59f8f9f1b602dc82b451131eb,1,1,none,0,1
0xcbd0da74ca2d1f61333f050da01e4fde5f98068b,1,1,none,0,1
0xcc80a4b1baaf8475eafa91c5f7ba0047f1e2506a,1,1,none,0,1
0xccb80763b932d03a6c5f0c4877f54b9992cb9ed4,1,1,diamond,2,3
0xcce5450cf46157fd8de85de6ab9e6691ae95f783,1,1,none,0,1
0xcd90574bc2ef39bcebbc5561c1c9d8e42110c239,1,1,r3tard,1,2
0xce603e5eeee3195fd6773fb02bf97bc4e43649aa,1,1,diamond,2,3
0xcee77a83af12e8e28ee4bcd3bf3974f930e749d5,1,1,diamond,2,3
0xcf10ce2d365b4a29c3052ecf3486d39b5b99a249,1,1,diamond,2,3
0xcf3b8981abaa56a8e41117b0c721c05f608400a7,1,1,none,0,1
0xd082eb60dc8dd4f34ff6fe91ad8d21faecb843b8,2,2,none,0,2
0xd17102aebaccbc9a9c47e0a5b4f17b235399ae6d,1,1,none,0,1
0xd29869f86cc751ca25a5a3e8cbb1c47501201737,1,1,diamond,2,3
0xd3df1769738a4bdfa5555c75de1b5e46e697d774,1,1,none,0,1
0xd3e909d154ce9641a00d6b90ff11f6d1a8e21ba9,1,1,diamond,2,3
0xd722dd9ce0087e12f529dc37ddbad40a24059bec,1,1,diamond,2,3
0xd724025aeffce1821a4c39d621d91cbe27d5251a,1,1,diamond,2,3
0xd948389216be7e837c317a2fe3e0c2e5d143b978,4,5,diamond,2,7
0xd94f7d245b7cdbd5299a567ba212493f3afd600f,1,1,diamond,2,3
0xd9f735e64919d2cb0e4abc384a4bb4d3bbfc3ecb,1,1,diamond,2,3
0xda11c7475da3d28bc7f041851e640ff88d00e9b5,2,2,r3tard,1,3
0xdc18dab67705094e0715e5b89f76c3cd12bd7f26,1,1,diamond,2,3
0xdd0b5a266e13bbea36212575129480d787b7105f,1,1,diamond,2,3
0xdd9e75f14f0bc441ca3cacf5eada8d46d9d53174,5,7,diamond,2,9
0xddb405dfafb87b4423f55ad0dd8b1be6b3af7b4f,3,3,none,0,3
0xde38c22d8692cec971ad89bb55f36a03d877f6cc,1,1,none,0,1
0xde55f4e5c349267c6fd0ee52cdc0f2b8ef04b77e,1,1,none,0,1
0xdf069da14f40c19961c20b284dc2210c6f1113fc,1,1,diamond,2,3
0xdf214988b8f13d87d1acebe96ced5c7a79e6bd4c,1,1,diamond,2,3
0xe02e855c6cc8dbd3a79c0f7e93a4f8f73a2601cf,2,2,diamond,2,4
0xe1da9e3ea9efc074ebffd4d2bed209b370705188,1,1,r3tard,1,2
0xe2542f84b3228d69347e6e4c959fe0efb6ca1950,1,1,r3tard,1,2
0xe2a8d76f73524672fb9de49114d52679d2de13f1,1,1,none,0,1
0xe309c6b8e5af174632ddd2afcb19b5f457c2cf6d,3,3,diamond,2,5
0xe312d20a235cbbbdef73b2ea4004bbbc6e74fc33,1,1,r3tard,1,2
0xe3b84986472f7fea21e7f7b447456160b304d2ed,1,1,diamond,2,3
0xe475ee006cf97bdce8275cb70319384ed59593cb,6,7,r3tard,1,8
0xe5f9aba6cc604f987b7a85759c6e71194e35f5a4,1,2,none,0,2
0xe6cf807e4b2a640dfe03ff06fa6ab32c334c7df4,2,2,r3tard,1,3
0xe6d7d39bb941a6d677d7927d2a4ef23e97546617,3,3,diamond,2,5
0xe73e03a5765036bec6b6d7d848a7b8d366354fe9,1,1,diamond,2,3
0xe77a035621f29a1501735aa05fb308671e7a243e,7,7,diamond,2,9
0xe786b4e761a032f4cea9b0a11ed36e5ae6b48c79,1,1,diamond,2,3
0xe9386a38d2279dfa3b39a85f23fff3c203cebaac,5,6,diamond,2,8
0xea60193bdb97df613fbd0ddd439168631ac228c4,2,2,diamond,2,4
0xeaaf049c385b33f20a472ad24046f4212868d055,1,1,diamond,2,3
0xeb3932000ddaf62f3ce4e0dc143ed2c31eb91943,1,1,diamond,2,3
0xed4c57fcd429240eb2190627f2971ec80d58bbfe,1,2,r3tard,1,3
0xeee26e1ec796fadeb26b973f670917366ca09737,1,1,none,0,1
0xf0b71a9e7f7d2f521c29dfe3f9a9c48264eb9892,3,3,diamond,2,5
0xf224fde44a4585240318bd4b2b3f7119d0316cfb,1,1,none,0,1
0xf27732351024f7d9a9da128311e13bfa183bde8e,1,1,r3tard,1,2
0xf29a037bb8c50bede78acaf5e6df9810865b330d,1,1,r3tard,1,2
0xf2f5da9a4bc63f9aa77ac67f8ca2700e8218deb1,1,1,diamond,2,3
0xf33b608f45aa8fcd8747ec018f9ab4691a13a5c6,1,1,diamond,2,3
0xf408d17df0187b90d33fdff1e604f08fc74a0c00,3,3,diamond,2,5
0xf56ba8755d9798559f722a089eb4f3f17b2f4fbb,3,5,diamond,2,7
0xf5ede9501e8827ff9dc13a83dc967f9b7bef4024,1,1,r3tard,1,2
0xf64a3f8694741f202eefdfeead9b81fecf752635,3,3,none,0,3
0xf695ed18ab6dcd088ef3118facde6ea1ff7d42a9,1,1,r3tard,1,2
0xf741f3c10bace6b91671428e383eb74433e1bf10,1,1,none,0,1
0xf7e5f33025ab4be12fb1d4da61f846037fe0d00a,3,3,diamond,2,5
0xf81a48410c448b1d587be9bbb3b23938e9f4bfd4,3,3,diamond,2,5
0xf83f18492494ae2e873b0cd01633acbf75a4aec4,1,1,diamond,2,3
0xf8baf2541defab76f2c344ff10cd6d4ef74d3432,2,3,diamond,2,5
0xf9102e3b05eb6f26c300df9e21bdd3f3b40d329b,1,1,diamond,2,3
0xf98e56b9a2ccd8e9bd3e8f7e39399e53c9c4c01c,1,1,diamond,2,3
0xf9e9d488adc848fefc5eff30d450fb60922c9e28,6,7,diamond,2,9
0xf9fdbed64ced4e052cacb3c06507c34750843175,1,1,r3tard,1,2
0xfbbf2d37564e949e77efebca7ac6d6a052f99dd7,1,1,diamond,2,3
0xfbc9254868a6e10d633b07104d2fb880e320865d,1,1,none,0,1
0xfcc046638865d027cb53c3edc1353c1b4e7f01c5,1,1,none,0,1
0xfd826bbc9120e81097da803fecc5e610b6559815,1,1,none,0,1
0xfd92896f2be8a3f6bab06ac4cb9542627f0fead4,3,3,diamond,2,5
0xfdcfb6e689a9c021f9d74a519fccf80718398c5e,2,2,diamond,2,4
0xfe058721d128792c09324190e9d27ab817eacbf8,1,1,none,0,1
0xfe2fdb1172a70e6ef2d3b973685d74c5a6be7e59,1,1,diamond,2,3
0xfe5050651b622f56e8931d172615b01e1065527d,1,1,diamond,2,3
0xfe60d30b5012c90556b9a22e17cf4824aae49c97,1,1,diamond,2,3
0xfeba21dfac0cc0738a1c8e4492b294a4e6cfb688,1,2,diamond,2,4
0xff8955f1afb9024af9139ec6f9249e9636daa2a6,1,1,diamond,2,3
0xffe9309a3c8eb35c587130b9d5d1baf60eafb61b,1,1,diamond,2,3
